idfuente,nombre_archivo,nombre_serie,signatura,tipo_doc,titulo_doc,fecha_doc,folio_pagina,contenido,URL
1,Archivo General de Indias,Estado,"ESTADO,15,N.25",carta,"Administrador Correos anuncia salida del ""Pinzón""",1795-01-26,NULL,"Carta nº 364 del Administrador de Correos D. José Fuertes al Duque de la Alcudia; anuncia la salida del 'Pinzón', que se ha dilatado por el mal tiempo, y da noticia de los útiles auxilios que para esta expedición ha debido al General de Marina D. Juan de Araoz. Duplicado. Con el índice de remisión común con la nº 363. [V. Estado, 15-24]. 2 hoj. fol",http://pares.mcu.es/ParesBusquedas20/catalogo/show/62474?nm
2,Archivo General de Indias,Correos,"CORREOS,275A,R.10",Diario de navegación,"Diario de navegación del paquebot ""El Colón""",1770-09-28,NULL,NULL,NULL
3,Archivo General de Indias,Correos,"CORREOS,275B,R.9",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1778-11-02,NULL,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, José de las Casas, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41261
4,Archivo General de Indias,Correos,"CORREOS,275A,R.13",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1772-07-01,NULL,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, José de Merino, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41251
5,Archivo General de Indias,Correos,"CORREOS,275B,R.10",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1792-10-08,NULL,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, Antonio Santiago Piñeiro, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41262
6,Archivo General de Indias,Correos,"CORREOS,275B,R.7",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1776-12-04,NULL,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, José de Rivero y Merino, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41259
7,Archivo General de Indias,Correos,"CORREOS,275B,R.5",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1775-11-04,NULL,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, José de Rivero y Merino, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41257
8,Archivo General de Indias,Correos,"CORREOS,275A,R.7",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1769-03-04,NULL,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, José de Llano, con destino a la carrera de La Habana. Se refiere únicamente al viaje de ida",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41245
9,Archivo General de Indias,Correos,"CORREOS,275A,R.5",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1767-12-01,NULL,"Diario de navegación del paquebote 'El Colón' al mando de su segundo piloto, Cosme de Bringas, con destino a la carrera de La Habana. El diario está suscrito por el segundo piloto, el capitán era Juan de Zurbarán",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41243
10,Archivo General de Indias,Correos,"CORREOS,275A,R.3",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1766-10-10,NULL,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, Juan de Zurbarán, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41241
11,Archivo General de Indias,Correos,"CORREOS,275B,R.3",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1774-04-05,NULL,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, José de las Casas, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41255
12,Archivo General de Indias,Correos,"CORREOS,275B,R.6",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1776-05-02,NULL,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, Pedro del Barco, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41258
13,Archivo General de Indias,Correos,"CORREOS,279B,R.20",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1765-01-24,NULL,"Diario de navegación del paquebote 'El Colón' al mando de su capitán Juan de Zurbarán, procedente de los astilleros de Sorroza.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41323
14,Archivo General de Indias,Correos,"CORREOS,275B,R.4",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1774-11-30,NULL,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, Mateo de Urcullu, con destino a la carrera de La Habana.",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41256
15,Archivo General de Indias,Correos,"CORREOS,275A,R.8",Diario de navegación,Diario de navegación del paquebot ''El Colón'',1769-09-01,NULL,"Diario de navegación del paquebot 'El Colón' al mando de su capitán, Mateo de Urcullu, con destino a la carrera de La Habana. Este paquebot se refiere al 'Nuevo Colón'",http://pares.mcu.es/ParesBusquedas20/catalogo/show/41246
